essround,cntry,codents,outcome,N
9,HR,"K: Derelict or demolished house, not yet build or not occupied",3,188
9,HR,L: Other ineligible,3,10
9,HR,M: R moved out of the country,3,46
9,HR,W: Invalid interview,2,4
9,HR,X: (partial) Interview,1,1810
9,HU,-: Contact form missing,2,6
9,HU,B: Refusal by respondent,2,1575
9,HU,C: Refusal by proxy or before selection,2,166
9,HU,E: Noncontact or moved to unknown destination or still in country,2,291
9,HU,F: Language barrier,2,33
9,HU,G: Mentally / physically unable / ill / sick (short and long term),2,51
9,HU,"H: Broken appointment, respondent unavailable, no interviews for other reasons",2,245
9,HU,I: Address not traceable,2,26
9,HU,J: Address not residential,3,6
9,HU,"K: Derelict or demolished house, not yet build or not occupied",3,34
9,HU,L: Other ineligible,3,7
9,HU,M: R moved out of the country,3,122
9,HU,N: R deceased,3,30
9,HU,W: Invalid interview,2,110
9,HU,X: (partial) Interview,1,1661
9,IE,B: Refusal by respondent,2,563
9,IE,C: Refusal by proxy or before selection,2,264
9,IE,E: Noncontact or moved to unknown destination or still in country,2,336
9,IE,F: Language barrier,2,31
9,IE,G: Mentally / physically unable / ill / sick (short and long term),2,39
9,IE,"H: Broken appointment, respondent unavailable, no interviews for other reasons",2,122
9,IE,I: Address not traceable,2,5
9,IE,J: Address not residential,3,23
9,IE,"K: Derelict or demolished house, not yet build or not occupied",3,154
9,IE,L: Other ineligible,3,11
9,IE,N: R deceased,3,3
9,IE,W: Invalid interview,2,1
9,IE,X: (partial) Interview,1,2216
9,IT,B: Refusal by respondent,2,1158
9,IT,C: Refusal by proxy or before selection,2,241
9,IT,E: Noncontact or moved to unknown destination or still in country,2,848
9,IT,F: Language barrier,2,17
9,IT,G: Mentally / physically unable / ill / sick (short and long term),2,73
9,IT,"H: Broken appointment, respondent unavailable, no interviews for other reasons",2,109
9,IT,I: Address not traceable,2,72
9,IT,J: Address not residential,3,17
9,IT,"K: Derelict or demolished house, not yet build or not occupied",3,58
9,IT,L: Other ineligible,3,18
9,IT,M: R moved out of the country,3,82
9,IT,N: R deceased,3,55
9,IT,Undefined,2,4
9,IT,X: (partial) Interview,1,2745
9,LT,B: Refusal by respondent,2,36
9,LT,C: Refusal by proxy or before selection,2,912
9,LT,E: Noncontact or moved to unknown destination or still in country,2,243
9,LT,F: Language barrier,2,4
9,LT,G: Mentally / physically unable / ill / sick (short and long term),2,12
9,LT,"H: Broken appointment, respondent unavailable, no interviews for other reasons",2,3
9,LT,J: Address not residential,3,331
9,LT,"K: Derelict or demolished house, not yet build or not occupied",3,466
9,LT,L: Other ineligible,3,294
9,LT,W: Invalid interview,2,51
9,LT,X: (partial) Interview,1,1835
9,LT,X: (partial) Interview,2,3
9,LV,B: Refusal by respondent,2,377
9,LV,C: Refusal by proxy or before selection,2,319
9,LV,E: Noncontact or moved to unknown destination or still in country,2,637
9,LV,F: Language barrier,2,8
9,LV,G: Mentally / physically unable / ill / sick (short and long term),2,25
9,LV,"H: Broken appointment, respondent unavailable, no interviews for other reasons",2,58
9,LV,I: Address not traceable,2,14
9,LV,J: Address not residential,3,17
9,LV,"K: Derelict or demolished house, not yet build or not occupied",3,117
9,LV,L: Other ineligible,3,11
9,LV,M: R moved out of the country,3,12
9,LV,N: R deceased,3,7
9,LV,W: Invalid interview,2,1
9,LV,X: (partial) Interview,1,918
9,LV,X: (partial) Interview,2,4
9,ME,B: Refusal by respondent,2,50
9,ME,C: Refusal by proxy or before selection,2,19
9,ME,D: Refusal because of drop out list,2,328
9,ME,E: Noncontact or moved to unknown destination or still in country,2,200
9,ME,F: Language barrier,2,1
9,ME,G: Mentally / physically unable / ill / sick (short and long term),2,3
9,ME,"H: Broken appointment, respondent unavailable, no interviews for other reasons",2,6
9,ME,I: Address not traceable,2,36
9,ME,"K: Derelict or demolished house, not yet build or not occupied",3,9
9,ME,L: Other ineligible,3,2
9,ME,M: R moved out of the country,3,60
9,ME,N: R deceased,3,15
9,ME,Undefined,2,3
9,ME,W: Invalid interview,2,79
9,ME,X: (partial) Interview,1,1200
9,ME,X: (partial) Interview,2,5
9,NL,B: Refusal by respondent,2,1106
9,NL,C: Refusal by proxy or before selection,2,156
9,NL,E: Noncontact or moved to unknown destination or still in country,2,194
9,NL,F: Language barrier,2,91
9,NL,G: Mentally / physically unable / ill / sick (short and long term),2,120
9,NL,"H: Broken appointment, respondent unavailable, no interviews for other reasons",2,21
9,NL,I: Address not traceable,2,4
9,NL,J: Address not residential,3,13
9,NL,"K: Derelict or demolished house, not yet build or not occupied",3,21
9,NL,L: Other ineligible,3,13
9,NL,M: R moved out of the country,3,32
9,NL,N: R deceased,3,15
9,NL,X: (partial) Interview,1,1673
9,NL,X: (partial) Interview,2,4
9,NO,B: Refusal by respondent,2,1097
9,NO,C: Refusal by proxy or before selection,2,50
9,NO,E: Noncontact or moved to unknown destination or still in country,2,156
9,NO,F: Language barrier,2,111
9,NO,G: Mentally / physically unable / ill / sick (short and long term),2,125
9,NO,"H: Broken appointment, respondent unavailable, no interviews for other reasons",2,294
9,NO,N: R deceased,3,15
9,NO,Undefined,1,4
9,NO,Undefined,2,45
9,NO,X: (partial) Interview,1,1402
9,NO,X: (partial) Interview,2,1
9,PL,B: Refusal by respondent,2,489
9,PL,C: Refusal by proxy or before selection,2,75
9,PL,E: Noncontact or moved to unknown destination or still in country,2,301
9,PL,F: Language barrier,2,1
9,PL,G: Mentally / physically unable / ill / sick (short and long term),2,54
9,PL,"H: Broken appointment, respondent unavailable, no interviews for other reasons",2,40
9,PL,I: Address not traceable,2,2
9,PL,J: Address not residential,3,7
9,PL,"K: Derelict or demolished house, not yet build or not occupied",3,12
9,PL,M: R moved out of the country,3,198
9,PL,N: R deceased,3,16
9,PL,W: Invalid interview,2,5
9,PL,X: (partial) Interview,1,1500
9,PT,B: Refusal by respondent,2,232
9,PT,C: Refusal by proxy or before selection,2,647
9,PT,E: Noncontact or moved to unknown destination or still in country,2,287
9,PT,F: Language barrier,2,25
9,PT,G: Mentally / physically unable / ill / sick (short and long term),2,90
9,PT,"H: Broken appointment, respondent unavailable, no interviews for other reasons",2,264
9,PT,I: Address not traceable,2,387
9,PT,J: Address not residential,3,95
9,PT,"K: Derelict or demolished house, not yet build or not occupied",3,418
9,PT,L: Other ineligible,3,63
9,PT,M: R moved out of the country,3,16
9,PT,N: R deceased,3,6
9,PT,W: Invalid interview,2,19
9,PT,X: (partial) Interview,1,1055
9,PT,X: (partial) Interview,2,13
9,RS,-: Contact form missing,1,59
9,RS,-: Contact form missing,2,63
9,RS,B: Refusal by respondent,2,389
9,RS,C: Refusal by proxy or before selection,2,496
9,RS,E: Noncontact or moved to unknown destination or still in country,2,309
9,RS,F: Language barrier,2,7
9,RS,G: Mentally / physically unable / ill / sick (short and long term),2,48
9,RS,"H: Broken appointment, respondent unavailable, no interviews for other reasons",2,93
9,RS,I: Address not traceable,2,14
9,RS,J: Address not residential,3,3
9,RS,"K: Derelict or demolished house, not yet build or not occupied",3,11
9,RS,M: R moved out of the country,3,17
9,RS,N: R deceased,3,23
9,RS,Undefined,1,2
9,RS,Undefined,2,11
9,RS,W: Invalid interview,2,74
9,RS,X: (partial) Interview,1,1982
9,RS,X: (partial) Interview,2,4
9,SE,-: Contact form missing,2,42
9,SE,B: Refusal by respondent,2,1367
9,SE,C: Refusal by proxy or before selection,2,103
9,SE,D: Refusal because of drop out list,2,76
9,SE,E: Noncontact or moved to unknown destination or still in country,2,358
9,SE,F: Language barrier,2,140
9,SE,G: Mentally / physically unable / ill / sick (short and long term),2,126
9,SE,"H: Broken appointment, respondent unavailable, no interviews for other reasons",2,115
9,SE,M: R moved out of the country,3,78
9,SE,N: R deceased,3,15
9,SE,Undefined,2,120
9,SE,W: Invalid interview,2,3
9,SE,X: (partial) Interview,1,1539
9,SI,B: Refusal by respondent,2,402
9,SI,C: Refusal by proxy or before selection,2,47
9,SI,E: Noncontact or moved to unknown destination or still in country,2,157
9,SI,F: Language barrier,2,10
9,SI,G: Mentally / physically unable / ill / sick (short and long term),2,40
9,SI,"H: Broken appointment, respondent unavailable, no interviews for other reasons",2,79
9,SI,I: Address not traceable,2,1
9,SI,J: Address not residential,3,2
9,SI,"K: Derelict or demolished house, not yet build or not occupied",3,15
9,SI,L: Other ineligible,3,2
9,SI,M: R moved out of the country,3,23
9,SI,N: R deceased,3,3
9,SI,X: (partial) Interview,1,1318
9,SI,X: (partial) Interview,2,1
9,SK,B: Refusal by respondent,2,248
9,SK,C: Refusal by proxy or before selection,2,1094
9,SK,E: Noncontact or moved to unknown destination or still in country,2,220
9,SK,F: Language barrier,2,6
9,SK,G: Mentally / physically unable / ill / sick (short and long term),2,15
9,SK,"H: Broken appointment, respondent unavailable, no interviews for other reasons",2,43
9,SK,I: Address not traceable,2,29
9,SK,J: Address not residential,3,16
9,SK,"K: Derelict or demolished house, not yet build or not occupied",3,44
9,SK,M: R moved out of the country,3,2
9,SK,X: (partial) Interview,1,1083
